"alias";"original tittel"
"Institutt for vann- og miljøteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Program for industriell økologi";"Norges teknisk-naturvitenskapelige universitet"
"Universitetsbiblioteket";"Norges teknisk-naturvitenskapelige universitet"
"NTNU - Norges teknisk-naturvitenskapelige universitet";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for arkitektur og billedkunst, Institutt for byggekunst, historie og teknologi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for arkitektur og billedkunst, Institutt for byggekunst, prosjektering og forvaltning]";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi, Institutt for produktdesign";"Norges teknisk-naturvitenskapelige universitet"
"Universitetet i Trondheim";"Norges teknisk-naturvitenskapelige universitet"
"Concept-programmet";"Norges teknisk-naturvitenskapelige universitet"
"Department of Chemical Engineering";"Norges teknisk-naturvitenskapelige universitet"
"Høgskolen i Sør-Trøndelag";"Norges teknisk-naturvitenskapelige universitet"
"Norwegian Research Centre for Hydropower Technology";"Norges teknisk-naturvitenskapelige universitet"
"NTH";"Norges teknisk-naturvitenskapelige universitet"
"The Royal Norwegian Society of Science and Letters";"Norges teknisk-naturvitenskapelige universitet"
"Trondheim Studies on East European Cultures and Societies";"Norges teknisk-naturvitenskapelige universitet"
